sr_no,state,mp_name,constituency,constituency_clean,allocated_amount_inr,is_reserved_sc,is_reserved_st,is_missing_amount,is_invalid_amount,is_duplicate_constituency,is_data_quality_issue
212,Jharkhand,JOBA MAJHI,SINGHBHUM(ST),SINGHBHUM,147000000.0,False,True,False,False,False,False
213,Assam,JOYANTA BASUMATARY,KOKRAJHAR (ST),KOKRAJHAR,147000000.0,False,True,False,False,False,False
214,West Bengal,JUNE MALIAH,MEDINIPUR,MEDINIPUR,147000000.0,False,False,False,False,False,False
215,Madhya Pradesh,JYOTIRADITYA M. SCINDIA,GUNA,GUNA,147000000.0,False,False,False,False,False,False
216,Chhattisgarh,Jyotsna Charandas Mahant,KORBA,KORBA,155153738.11,False,False,False,False,False,False
217,Tamil Nadu,K E PRAKASH,ERODE,ERODE,147000000.0,False,False,False,False,False,False
218,Kerala,K RADHAKRISHNAN,ALATHUR(SC),ALATHUR,147000000.0,True,False,False,False,False,False
219,Tamil Nadu,K Subbarayan,TIRUPPUR,TIRUPPUR,147000000.0,False,False,False,False,False,False
220,Kerala,K. C VENUGOPAL,ALAPPUZHA,ALAPPUZHA,147000000.0,False,False,False,False,False,False
221,Karnataka,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,KOPPAL,147000000.0,False,False,False,False,False,False
222,Telangana,KADIYAM KAVYA,WARANGEL(SC),WARANGEL,147000000.0,True,False,False,False,False,False
223,West Bengal,Kakoli Ghosh Dastidar,BARASAT,BARASAT,147000000.0,False,False,False,False,False,False
224,The Dadra And Nagar Haveli And Daman And Diu,Kalaben Mohanbhai Delkar,DADRA & NAGAR HAVELI (ST),DADRA & NAGAR HAVELI,269500000.0,False,True,False,False,False,False
225,Tamil Nadu,Kalanidhi Veeraswamy,CHENNAI NORTH,CHENNAI NORTH,171500000.0,False,False,False,False,False,False
226,Jharkhand,KALI CHARAN MUNDA,KHUNTI(ST),KHUNTI,147000000.0,False,True,False,False,False,False
227,Jharkhand,KALI CHARAN SINGH,CHATRA,CHATRA,147000000.0,False,False,False,False,False,False
228,West Bengal,KALIPADA SAREN,JHARGRAM(ST),JHARGRAM,147000000.0,False,True,False,False,False,False
229,West Bengal,Kalyan Banerjee,SREERAMPUR,SREERAMPUR,147000000.0,False,False,False,False,False,False
230,Maharashtra,KALYAN VAIJINATHRAO KALE,JALNA,JALNA,147000000.0,False,False,False,False,False,False
231,Assam,KAMAKHYA PRASAD TASA,Kaziranga,Kaziranga,147000000.0,False,False,False,False,False,False
232,Delhi,Kamaljeet Sehrawat,WEST DELHI,WEST DELHI,147000000.0,False,False,False,False,False,False
233,Chhattisgarh,KAMLESH JANGDE,JANJGIR CHAMPA(SC),JANJGIR CHAMPA,150384382.11,True,False,False,False,False,False
234,Uttar Pradesh,Kamlesh Paswan,BANSGAON(SC),BANSGAON,147000000.0,True,False,False,False,False,False
235,Himachal Pradesh,Kangana Ranaut,MANDI,MANDI,147000000.0,False,False,False,False,False,False
236,Tamil Nadu,Kani K Navas,RAMANATHAPURAM,RAMANATHAPURAM,147000000.0,False,False,False,False,False,False
237,Tamil Nadu,Kanimozhi Karunanidhi,THOOTHUKKUDI,THOOTHUKKUDI,147000000.0,False,False,False,False,False,False
238,Uttar Pradesh,KANWAR SINGH TANWAR,AMROHA,AMROHA,147000000.0,False,False,False,False,False,False
239,Uttar Pradesh,KARAN BHUSHAN SINGH,KAISERGANJ,KAISERGANJ,147000000.0,False,False,False,False,False,False
240,West Bengal,KARTICK CHANDRA PAUL,RAIGANJ,RAIGANJ,202677986.56,False,False,False,False,False,False
241,Bihar,Kaushalendra Kumar,NALANDA,NALANDA,147000000.0,False,False,False,False,False,False
242,West Bengal,Khagen Murmu,MALDAHA UTTAR,MALDAHA UTTAR,147000000.0,False,False,False,False,False,False
243,West Bengal,Khalilur Rahaman,JANGIPUR,JANGIPUR,147000000.0,False,False,False,False,False,False
244,Andhra Pradesh,Kinjarapu Ram Mohan Naidu,SRIKAKULAM,SRIKAKULAM,171200630.11,False,False,False,False,False,False
245,Arunachal Pradesh,Kiren Rijiju,ARUNACHAL WEST,ARUNACHAL WEST,147000000.0,False,False,False,False,False,False
246,Uttar Pradesh,Kirti Vardhan Singh,GONDA,GONDA,147000000.0,False,False,False,False,False,False
247,Telangana,Kishan Reddy Gangapuram,SECUNDERABAD,SECUNDERABAD,147000000.0,False,False,False,False,False,False
248,Uttar Pradesh,KISHORI LAL,AMETHI,AMETHI,171500000.0,False,False,False,False,False,False
249,Telangana,KONDA VISHWESHWAR REDDY,CHELVELLA,CHELVELLA,233721420.96,False,False,False,False,False,False
250,Karnataka,KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,UDUPI CHIKMAGALUR,147000000.0,False,False,False,False,False,False
251,Assam,Kripanath Mallah,KARIMGANJ (SC),KARIMGANJ,147000000.0,True,False,False,False,False,False
252,Haryana,Krishan Pal Gurjar,FARIDABAD,FARIDABAD,147000000.0,False,False,False,False,False,False
253,Uttar Pradesh,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,BANDA,147000000.0,False,False,False,False,False,False
254,Andhra Pradesh,Krishna Prasad Tenneti,BAPATLA,BAPATLA,167796849.11,False,False,False,False,False,False
255,Tripura,KRITI DEVI DEBBARMAN,TRIPURA EAST(ST),TRIPURA EAST,147000000.0,False,True,False,False,False,False
